label,text
1,Moby Pub Quiz.Win a Â£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP Â£1.[PHONE] SP Arrow
0,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
0,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
0,Den wat will e schedule b lk on sun?
0,Tmr timin still da same wat cos i got lesson until 6...
0,Except theres a chick with huge boobs.
1,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call [PHONE] or reply for delivery Wed
0,S..antha num corrct dane
0,S:)no competition for him.
0,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
0,Onum ela pa. Normal than.
0,Oi when you gonna ring
0,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
0,"Merry Christmas to you too babe, i love ya *kisses*"
0,Lmao you know me so well...
0,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
0,Happy birthday... May all ur dreams come true...
0,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
0,K..k:)where are you?how did you performed?
0,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
0,But i dint slept in afternoon.
0,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
0,"Gosh that , what a pain. Spose I better come then."
0,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
0,I donno its in your genes or something
0,"Fair enough, anything going on?"
0,Ok no prob. Take ur time.
0,Stop knowing me so well!
0,"I have 2 sleeping bags, 1 blanket and paper and phone details. Anything else?"
0,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
1,"Call [PHONE] to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
0,Nothing. Can...
0,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
0,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
0,Ard 6 like dat lor.
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
0,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
1,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
0,I cant pick the phone right now. Pls send a message
0,Where u been hiding stranger?
0,A bloo bloo bloo I'll miss the first bowl
0,Mum not going robinson already.
0,Come by our room at some point so we can iron out the plan for this weekend
0,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
0,Thats cool. i liked your photos. You are very sexy!
0,None of that's happening til you get here though
0,Bring tat cd don forget
0,One small prestige problem now.
0,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
0,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
0,"The table's occupied, I'm waiting by the tree"
0,Speaking of does he have any cash yet?
0,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
0,How i noe... Did Ã¼ specify da domain as nusstu... Ã still in sch...
0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
0,Me sef dey laugh you. Meanwhile how's my darling anjie!
0,Okay but i thought you were the expert
1,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd[PHONE] or Call2OptOut/674&
1,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
0,I'm aight. Wat's happening on your side.
0,How abt making some of the pics bigger?
1,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call [PHONE] from land line. Claim M95. Valid12hrs only
0,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
0,Oh k :)why you got job then whats up?
0,You were supposed to wake ME up &gt;:(
0,Doing my masters. When will you buy a bb cos i have for sale and how's bf
0,No probs hon! How u doinat the mo?
0,5 nights...We nt staying at port step liao...Too ex
0,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
0,No pic. Please re-send.
0,"Call me, i am senthil from hsbc."
0,"What's up bruv, hope you had a great break. Do have a rewarding semester."
0,The wine is flowing and i'm i have nevering..
0,I'm meeting Darren...
0,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
0,Hope you are having a great day.
0,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
0,I love working from home :)
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
0,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
0,Die... Now i have e toot fringe again...
0,Did you get any gift? This year i didnt get anything. So bad
0,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
1,Cashbin.co.uk (Get lots of cash this weekend!) [URL] Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
0,:-( sad puppy noise
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
0,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
0,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
0,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
1,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call [PHONE] to book your time.
0,"I av a new number, . Wil u only use this one,ta."
0,It only does simple arithmetic not percentages.
1,"Hungry gay guys feeling hungry and up 4 it, now. Call [PHONE] just 10p/min. To stop texts call [PHONE] (10p/min)"
0,Its not that time of the month nor mid of the time?
0,S:)8 min to go for lunch:)
0,Thanks chikku..:-) gud nyt:-*
0,Gud ni8 dear..slp well..take care..swt dreams..Muah..
0,1 in cbe. 2 in chennai.
0,Yes:)sura in sun tv.:)lol.
0,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
0,"Princess, i like to make love &lt;#&gt; times per night. Hope thats not a problem!"
0,Horrible bf... I now v hungry...
0,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
1,"complimentary 4 STAR Ibiza Holiday or Â£10,000 cash needs your URGENT collection. [PHONE] NOW from Landline not to lose out! Box434SK38WP150PPM18+"
0,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
0,Ya but it cant display internal subs so i gotta extract them
0,Finished class where are you.
0,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
0,Hi da:)how is the todays class?
0,I wont touch you with out your permission.
0,Super da:)good replacement for murali
0,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
0,"Just sent you an email â to an address with incomm in it, is that right?"
0,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
0,Nokia phone is lovly..
0,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
0,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
0,I think steyn surely get one wicket:)
0,"As usual..iam fine, happy &amp; doing well..:)"
1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. [PHONE] rpl Stop 2 cnl
0,Compliments to you. Was away from the system. How your side.
0,Thank you princess! I want to see your nice juicy booty...
0,May b approve panalam...but it should have more posts..
0,U too...
0,My sister going to earn more than me da.
0,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
0,No..its ful of song lyrics..
0,Having lunch:)you are not in online?why?
0,1's reach home call me.
1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call [PHONE] Identifier Code: 48922 Expires 21/11/04
0,Oh god i am happy to see your message after 3 days
0,I'm done...
0,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
1,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
0,So can collect ur laptop?
0,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
0,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
0,No. It's not pride. I'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
0,"Haha awesome, I might need to take you up on that, what you doin tonight?"
0,Thought we could go out for dinner. I'll treat you! Seem ok?
0,We don call like &lt;#&gt; times oh. No give us hypertension oh.
1,Urgent! Please call [PHONE] from landline. Â£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
0,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
0,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
0,I'm working technical support :)voice process.
0,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
0,Don no da:)whats you plan?
0,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!"
1,XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC [URL]
0,"Carlos took a while (again), we leave in a minute"
0,"My planning usually stops at ""find hella weed, smoke hella weed"""
1,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
0,"Hurry up, I've been weed-deficient for like three days"
0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
0,So u wan 2 come for our dinner tonight a not?
0,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
0,"not that I know of, most people up here are still out of town"
0,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
1,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call [PHONE] to re-schedule. Ref:9307622"
0,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
0,Where is it. Is there any opening for mca.
0,U in town alone?
0,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
0,Probably gonna swing by in a wee bit
0,I'm in a movie. Call me 4 wat?
0,You call times job today ok umma and ask them to speed up
1,Ur TONEXS subscription has been renewed and you have been charged Â£4.50. You can choose 10 more polys this month. [URL] *BILLING MSG*
0,U still havent got urself a jacket ah?
0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
0,Did he just say somebody is named tampa
0,Cramps stopped. Going back to sleep
0,Wah... Okie okie... Muz make use of e unlimited... Haha...
0,"2 celebrate my bÂday, y else?"
0,Anything lor. Juz both of us lor.
0,Were somewhere on Fredericksburg
0,Sweet heart how are you?
0,Otherwise had part time job na-tuition..
0,I'll be at mu in like &lt;#&gt; seconds
0,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
0,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
0,"Oh, then your phone phoned me but it disconnected"
0,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
0,Well that must be a pain to catch
0,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
0,"Its ok, called mom instead have fun"
0,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
0,First answer my question.
0,Oops my phone died and I didn't even know. Yeah I like it better.
0,Lol boo I was hoping for a laugh
0,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
0,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for &lt;#&gt; dollars.
0,Oh yeah I forgot. U can only take 2 out shopping at once.
0,Your dad is back in ph?
1,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
0,Esplanade lor. Where else...
0,We left already we at orchard now.
1,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call [PHONE] from land line. Claim 3030. Valid 12hrs only
0,We'll you pay over like &lt;#&gt; yrs so its not too difficult
0,Oh god. I'm gonna Google nearby cliffs now.
0,"Me, i dont know again oh"
0,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
0,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever...."
0,There are many company. Tell me the language.
0,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
0,Why i come in between you people
0,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
0,K.k:)apo k.good movie.
0,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
0,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
0,Y de asking like this.
0,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
0,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
0,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
0,Oh k.k..where did you take test?
0,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
0,The hair cream has not been shipped.
0,"Jay told me already, will do"
0,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
0,That means get the door
0,Then we wait 4 u lor... No need 2 feel bad lar...
0,If you are not coughing then its nothing
0,Ok lor thanx... Ã in school?
1,U are subscribed to the best Mobile Content Service in the UK for Â£3 per 10 days until you send STOP to 82324. Helpline [PHONE]
0,Nope thats fine. I might have a nap tho!
0,Yeah if we do have to get a random dude we need to change our info sheets to PARTY &lt;#&gt; /7 NEVER STUDY just to be safe
0,Dear umma she called me now :-)
0,Yeah my usual guy's out of town but there're definitely people around I know
1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 [URL] [PHONE]+ norm 4txt/120p
0,Bbq this sat at mine from 6ish. Ur welcome 2 come
0,Send me your resume:-)
0,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
0,K...k...when will you give treat?
0,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
0,I enjoy watching and playing football and basketball. Anything outdoors. And you?
0,Can... I'm free...
0,I dont want to hear anything
0,Kothi print out marandratha.
0,Like a personal sized or what
0,Allo! We have braved the buses and taken on the trains and triumphed. I mean weâre in bâham. Have a jolly good rest of week
